id	title	mime_type	size_bytes	status	doc_slug
1QOhR5gGZzlyJ8Fxorx6TtFmcarfv7VoC	1960 - L M BREKHOVSKIKH - Waves in Layered Media.pdf	application/pdf		readable	brekhovskikh-waves-layered-media-1960
1SDpJBfqxNtoe0frP7UbieyO2_vGytYLZ	Acoustics of Layered Media II - Brekhovskikh.pdf	application/pdf		partial	brekhovskikh-layered-media-ii
13-lIcl4AnX_OoesYF54JQsO921Qz13Ol	Fundamentals of Ocean Acoustics - Brekhovskikh 1982.pdf	application/pdf		partial	brekhovskikh-ocean-acoustics-1982
1wmbgZDcH8r5Co0e2vDZBNVcYGXYu_0bU	1989 - LM BREKHOVSKIKH - Acoustics of Layered Media I.pdf	application/pdf		partial	brekhovskikh-layered-media-i-1989
1SS8icqQIQq7p8XX_cmRxmK2i2KWhcNDi	1990 - LM BREKHOVSKIKH - Acoustics of Layered Media I (2nd ed).pdf	application/pdf		unreadable	brekhovskikh-layered-media-i-1990
15zkn_t97s_nhS_yzAff7xYsV1ilG3UoL	Fundamentals of Ocean Acoustics 2003 (djvu-1).djvu	image/x-djvu		unreadable	brekhovskikh-ocean-acoustics-2003
1bRn_KE-oTg4l8YtxYD0LMX1lCHRsBkHA	2003 - Fundamentals of Ocean Acoustics (djvu-2).djvu	image/x-djvu		unreadable	brekhovskikh-ocean-acoustics-2003
1Rcifh-ltHtyltvgO7w5EG967ZaTIzSfm	1984 - MG Silk - Ultrasonic transducers for nondestructive testing.pdf	application/pdf		unreadable	silk-ultrasonic-transducers
12PfpjrFV6WLa18dkI8J6LyZbK-S4TtR4	Transmission line - BA Auld Acoustic fields and waves in solids.pdf	application/pdf		partial	auld-transmission-line
16I5lnIo84qkjM-wO8tfjZ5zlbkkMk11P	1973 - J D Achenbach - Waves Propagation in Elastic Solids.pdf	application/pdf		unreadable	achenbach-wave-propagation-elastic
1CD9dOMuy6rluqXEbNWJtv-zGWZI-g2Zs	Determination of the elastic properties of glass and ceramics - Keler 1956.pdf	application/pdf		readable	keler-elastic-properties-glass
1pnMwsCB7tMGTYRdsxsK9lVwO-dFfns2W	1929 - JW Strutt Rayleigh - The Theory of Sound.pdf	application/pdf		partial	rayleigh-theory-of-sound
196WpyYWC2T762_skDQWyvraBn0F9xc5B	2013 - Fundamentals of Acoustics lect notes.pdf	application/pdf		partial	fundamentals-acoustics-wikibooks
1XmI-eUJowyDZFAbSTGC0Nu1FSPiST666	Acoustical Imaging Volume 14 - 1985.pdf	application/pdf		partial	acoustical-imaging-14
1-hDb18KAk-dNdcYLkKWe_h-nGC40k5V_	2012 - K Nakamura - Ultrasonic Transducers.pdf	application/pdf		partial	nakamura-ultrasonic-transducers
1dGd03nRawoiVS_xR0b7zqsFO-bbpY1rL	1978 - H Berger M Linzer - Ultrasonic Materials Characterization.pdf	application/pdf		partial	berger-linzer-ultrasonic-materials-characterization
1RF4Fn7uZ6nka9MY9s0Og2LiGMmHsfozq	1978 - GOVPUB-C13 - Ultrasonic Materials Characterization.pdf	application/pdf		partial	berger-linzer-ultrasonic-materials-characterization
1EJwVAkVhHScf9sSPDsz5t7gTLeZq5Ys0	Ultrasonic Testing.pdf	application/pdf		partial	ultrasonic-testing-intro
1N6UyLb4KHx8B-YYJehqrGUMQjneqQOV1	Piezoelectricity - BA Auld Acoustic fields and waves in solids.pdf	application/pdf		unreadable	auld-piezoelectricity
1pQH_6Z6uoADYz4ywvqetFH2FoJXDtGTs	1973 - B A Auld - Acoustic Fields Vol 1.djvu	image/x-djvu		unreadable	auld-acoustic-fields-vol1
15pLYEYjthQ_WcRpSIERtvfnTHPRfC6zq	1973 - B A Auld - Acoustic Fields Vol 2.djvu	image/x-djvu		unreadable	auld-acoustic-fields-vol2
